Date,Open,High,Low,Close,Adj Close,Volume
12/12/2017,87.400002,87.699997,86.800003,86.940002,81.422188,2515000
12/13/2017,86.769997,88.099998,86.599998,87.449997,81.899818,3112000
12/14/2017,87.550003,88.43,87.43,87.480003,81.927917,3635800
12/15/2017,87.650002,88.400002,87.5,88.190002,82.592857,6579300
12/18/2017,88.57,89.169998,88.209999,88.93,83.285889,3433000
12/19/2017,88.940002,89.209999,88.010002,88.07,82.480476,2953500
12/20/2017,88.690002,90.480003,88.279999,90.160004,84.437828,3506600
12/21/2017,89.93,91.120003,89.839996,90.720001,84.96228,3004200
12/22/2017,91.029999,91.5,90.800003,91.129997,85.346252,1837200
12/26/2017,91.25,92.050003,91.239998,91.860001,86.02993,1442900
12/27/2017,91.82,92.489998,91.57,92.139999,86.29216,2388300
12/28/2017,92.389999,92.580002,91.75,92.300003,86.442009,1835700
12/29/2017,92.690002,93.18,91.910004,91.910004,86.076767,2343800
1/2/2018,92.190002,93.139999,91.709999,92.800003,86.910278,3582900
1/3/2018,92.580002,93.470001,92.5,93.290001,87.369179,3057600
1/4/2018,93.410004,93.620003,92.639999,93.589996,87.650139,2977000
1/5/2018,93.599998,94.300003,93.43,94.029999,88.06221,2973800
1/8/2018,94.129997,94.370003,93.400002,94.220001,88.24015,2493400
1/9/2018,94.760002,94.959999,94,94.099998,88.127754,3884900
1/10/2018,93.809998,94.650002,93.559998,94.150002,88.174591,2391800
1/11/2018,94.589996,94.610001,93.610001,94.550003,88.54921,2679700
1/12/2018,94.910004,97,94.709999,96.75,90.609589,2873400
1/16/2018,96.849998,97.550003,95.660004,96.150002,90.047661,3052500
1/17/2018,96.459999,98.110001,96.290001,97.559998,91.368172,2940700
1/18/2018,97.110001,97.230003,95.980003,96.459999,90.33799,2489400
1/19/2018,96.769997,97.290001,96.25,97.260002,91.087204,2368800
1/22/2018,97.620003,99.099998,97.43,98.949997,92.669937,2441200
1/23/2018,99.309998,99.309998,98.059998,98.690002,92.426453,2120300
1/24/2018,99.93,99.949997,96.980003,97.660004,91.461823,3109500
1/25/2018,98.190002,98.190002,96.879997,97.18,91.012291,2725300
1/26/2018,97.559998,98.75,97.389999,98.690002,92.426453,2122200
1/29/2018,98.629997,98.629997,96.190002,96.389999,90.272423,2787100
1/30/2018,95.82,96.019997,92.110001,94.339996,88.352524,4338800
1/31/2018,94.550003,96.43,94.459999,95.970001,89.879082,5334000
2/1/2018,96.419998,96.870003,92.699997,94.690002,88.680328,5032300
2/2/2018,94.190002,95.849998,92.739998,93.190002,87.27552,4656700
2/5/2018,91.839996,93.660004,82.900002,89.769997,84.072571,7072900
2/6/2018,87.779999,91.120003,86.75,90.459999,84.718781,6335000
2/7/2018,90.43,92.550003,89.839996,89.839996,84.13813,4344500
2/8/2018,89.629997,90.370003,86.75,86.769997,81.262978,3975900
2/9/2018,87.629997,89.370003,85.260002,88.220001,82.620956,5463400
2/12/2018,88.25,89.690002,88.129997,88.839996,83.96299,4020900
2/13/2018,88.330002,89.800003,88.160004,89.480003,84.567871,3638200
2/14/2018,88.860001,93.040001,88.779999,92.629997,87.544937,4877300
2/15/2018,93.559998,94.220001,91.580002,93,87.894623,4057600
2/16/2018,93.010002,94.410004,92.410004,93.269997,88.149811,2538800
2/20/2018,93.110001,93.889999,91.050003,91.580002,86.552582,3083600
2/21/2018,91.5,92.75,90.809998,90.830002,85.843765,2018100
2/22/2018,90.989998,93.239998,90.989998,92.050003,86.99678,3047300
2/23/2018,92.68,92.900002,91.660004,92.459999,87.384262,2069200
2/26/2018,93.110001,93.809998,92.660004,93.309998,88.187607,2563300
2/27/2018,93.360001,95.25,92.730003,92.769997,87.677246,2893000
2/28/2018,93,93.470001,90.400002,90.419998,85.456261,2746800
3/1/2018,90.529999,92.419998,89.790001,90.82,85.834305,3035900
3/2/2018,90.059998,92.620003,89.57,92.199997,87.138542,3485000
3/5/2018,91.510002,92.349998,90.080002,91.559998,86.533676,4656700
3/6/2018,91.879997,92.769997,91,91.720001,86.684898,2852300
3/7/2018,90.75,92.849998,90.699997,92.040001,86.987335,2616800
3/8/2018,92.099998,93.459999,91.099998,93.309998,88.187607,3650800
3/9/2018,93.93,95.400002,93.849998,94.32,89.142174,3500400
3/12/2018,94.010002,94.480003,92.529999,92.690002,87.601639,3231900
3/13/2018,93.019997,94.949997,92.800003,93.489998,88.357727,4322400
3/14/2018,93.669998,94.099998,92.489998,92.660004,87.573296,2747400
3/15/2018,93.099998,93.389999,90.519997,92.330002,87.261406,2786100
3/16/2018,92.389999,94.040001,92.389999,93.790001,88.641266,5308600
3/19/2018,93.220001,93.440002,92.169998,92.940002,87.837921,2334700
3/20/2018,93.540001,95.870003,93.470001,94.470001,89.283928,3354400
3/21/2018,94.709999,96.410004,94.489998,95.449997,90.210129,3066200
3/22/2018,94.389999,95.110001,92.949997,93.040001,87.932442,3264500
3/23/2018,93.790001,94.510002,91.110001,91.220001,86.212349,3195400
3/26/2018,92.379997,94.470001,92.339996,94.25,89.076004,3111500
3/27/2018,94.290001,94.660004,91.110001,92.269997,87.204697,3756700
3/28/2018,92.599998,92.949997,90.220001,90.279999,85.323944,3864800
3/29/2018,91.220001,92.889999,91.120003,92.769997,87.677246,4173900
4/2/2018,92.25,92.730003,89.75,91.559998,86.533676,2788500
4/3/2018,92.199997,92.760002,91.339996,92.699997,87.611092,2930600
4/4/2018,91.089996,93.620003,89.970001,93.349998,88.225418,3659600
4/5/2018,93.830002,96.220001,93.709999,95.860001,90.597626,3766300
4/6/2018,95.059998,96,93.769997,95.18,89.954956,3432000
4/9/2018,95.82,97.199997,95.559998,96.010002,90.739403,3653800
4/10/2018,97.370003,99.220001,97.07,98.889999,93.461288,3489100
4/11/2018,98.980003,100.910004,98.339996,100.309998,94.803329,3506900
4/12/2018,100.650002,101.279999,99.650002,100.529999,95.011261,3245100
4/13/2018,101.349998,102.230003,100.459999,101.830002,96.239899,2641200
4/16/2018,102.260002,106.349998,102.129997,105.489998,99.698967,5876400
4/17/2018,105.629997,106.940002,104.089996,106.690002,100.833092,3669100
4/18/2018,107.260002,108.830002,106.699997,107.540001,101.636436,3904800
4/19/2018,107.540001,108.589996,106.330002,108.199997,102.260201,3240500
4/20/2018,107.849998,108.610001,107.379997,108.550003,102.591003,2795100
4/23/2018,108.75,109.269997,107.480003,109.260002,103.262016,2162800
4/24/2018,109.349998,110.949997,107.660004,108.290001,102.345268,3279700
4/25/2018,107.779999,109.209999,106.269997,108.68,102.71386,3799800
4/26/2018,109.790001,111.82,106.949997,111.540001,105.41684,4912200
4/27/2018,111.610001,112.300003,109.32,109.779999,103.753471,2658700
4/30/2018,110.080002,113.32,109.860001,110.93,104.84034,5667700
5/1/2018,110.260002,111.059998,108.769997,110.720001,104.641869,3680800
5/2/2018,110.550003,113.470001,110.550003,112.25,106.087875,5677400
5/3/2018,111.769997,113.889999,110.959999,113.370003,107.146385,3576400
5/4/2018,113,113.919998,111.93,113.389999,107.165291,2923000
5/7/2018,114.160004,115.480003,113.339996,113.669998,107.429924,3449900
5/8/2018,113.059998,113.25,111.029999,113.190002,106.976273,6102200
5/9/2018,113.949997,115.839996,113.519997,114.82,108.516792,4159800
5/10/2018,115.540001,115.989998,113.980003,114.489998,108.204903,5038700
5/11/2018,114.660004,115.139999,114.150002,114.629997,108.337219,2773400
5/14/2018,115.199997,116.199997,114.989998,115.870003,109.509163,3936000
5/15/2018,115.889999,116.43,114.82,115.900002,109.537506,3541300
5/16/2018,114.940002,115.260002,113.870003,114.989998,109.432823,2691900
5/17/2018,116.459999,121.040001,116.330002,119.709999,113.924713,5888500
5/18/2018,120.050003,120.879997,119.019997,120.559998,114.733627,3906500
5/21/2018,121.529999,122.379997,120.230003,122.059998,116.161148,2992600
5/22/2018,121.860001,122.68,119.660004,120.150002,114.343452,3253300
5/23/2018,119.269997,121.739998,118.529999,121.050003,115.199959,3395800
5/24/2018,120.099998,122.940002,119.57,121.879997,115.989845,3158300
5/25/2018,120.400002,120.459999,117.650002,118.730003,112.992073,3581600
5/29/2018,118.290001,121.459999,118.209999,119.470001,113.69632,3025600
5/30/2018,120.699997,123.029999,120.059998,122.209999,116.303886,2996000
5/31/2018,121.860001,124.769997,120.910004,121.199997,115.342697,5480900
6/1/2018,122.080002,124.739998,121.459999,123.779999,117.798012,2941900
6/4/2018,124.629997,126.980003,124.25,124.440002,118.426125,3792000
6/5/2018,124.18,124.43,122.739998,123.330002,117.369766,3392500
6/6/2018,123,123.470001,119.940002,121.199997,115.342697,3554200
6/7/2018,121.739998,122.620003,120.800003,121.489998,115.61869,2329400
6/8/2018,121.519997,121.650002,119.209999,119.720001,113.934227,3743600
6/11/2018,119.809998,121.07,118.480003,120.57,114.743149,3279200
6/12/2018,120.669998,121.480003,117.580002,118.019997,112.316383,4422600
6/13/2018,117.940002,118.660004,115.599998,117.879997,112.183151,5546200
6/14/2018,118.699997,119.190002,116.690002,116.82,111.174377,2431400
6/15/2018,115.949997,117.110001,115.010002,115.18,109.613632,5087200
6/18/2018,115.330002,118.089996,115.019997,116.540001,110.907906,3054900
6/19/2018,115.330002,117.029999,115.029999,116.620003,110.984047,2491200
6/20/2018,116.860001,117.279999,115.309998,115.730003,110.137062,3093100
6/21/2018,115.059998,115.059998,111.040001,111.220001,105.845009,4528700
